negative,neutral,positive,word
253,122,48,okay
2969,2268,2110,like
37,15,25,coffee
25,51,42,mysteries
10719,7133,5759,not
131,118,70,expect
489,692,929,great
188,262,261,works
131,125,152,literature
197,135,79,except
9,9,25,exceptional
35,34,51,circumstances
359,273,202,main
760,499,391,character
545,595,560,series
577,337,228,plot
40,24,23,edited
1203,914,976,books
167,215,199,published
1945,1193,1137,even
68,43,48,mass
43,52,41,market
1,0,2,paperbacks
8,16,6,cozy
266,311,274,especially
40,58,69,national
4,2,0,bestselling
1309,754,606,author
1091,925,895,being
9,16,15,division
7,2,12,penguin
34,36,21,publishing
161,42,47,please
357,246,316,put
7,4,5,profits
71,84,85,toward
4,3,7,hiring
2263,2195,2189,read
19,15,13,publish
984,558,527,why
1039,1184,1211,well
7,12,12,gathered
106,100,97,examples
484,211,283,page
1184,1280,1196,first
374,309,245,chapter
3,0,2,sterling
5,0,4,sliver
25,20,18,serving
4,0,0,trays
2,0,0,overflowed
2,1,0,flutes
2,1,0,obscenely
22,22,13,expensive
3,3,3,champagne
2237,1709,1682,out
795,687,628,here
30,41,49,seemingly
33,26,28,endless
3,8,5,rounds
1,0,0,seafood
1,0,0,canapes
15,11,7,gotta
823,742,988,love
33,24,12,consistent
1,0,0,hyphenation
1125,1300,1341,also
222,93,77,apparently
1,1,1,overflow
723,369,497,every
1542,1447,1537,time
236,92,70,seriously
1,0,2,cleo
146,112,89,list
1,0,0,ctrl
110,57,51,check
48,39,39,publication
3,0,0,pubic
15,13,23,trail
1921,1751,1792,when
367,248,195,write
34,28,24,legal
1,1,0,briefs
55,35,18,hey
2,0,0,spellcheck
1339,935,794,know
120,82,82,meant
97,101,119,public
23,13,57,trial
9,22,28,importantly
21,8,2,embarrassed
18,17,9,accidentally
16,14,22,argued
12,13,17,client
342,237,298,against
179,194,168,interest
974,519,483,should
7162,4984,4950,book
51,31,40,twice
433,256,248,believe
1309,1145,1105,been
2,0,1,shirking
664,844,804,work
491,401,428,since
2,0,0,shirk
1447,1084,851,get
992,861,711,too
37,28,30,millions
33,18,16,dollars
45,37,35,thousands
13,9,18,employees
2,1,1,livelihoods
10,7,13,stake
66,78,60,missing
2,0,0,apostrophe
616,833,743,still
67,73,94,reference
1,0,0,masaad
11,20,21,agents
618,488,516,same
1139,1027,848,think
1,4,0,mossad
9,2,4,spelled
73,99,93,earlier
51,72,51,caught
11,16,9,invited
60,69,80,david
13,4,8,tonight
2,0,0,wheedle
6,6,3,invitation
21,13,10,sample
3,5,4,dessert
1,0,0,parings
48,33,50,serve
15,12,18,apple
3,1,1,peels
6,5,4,potato
2,1,1,skins
215,292,305,during
349,287,234,big
42,41,25,gotten
398,302,321,away
6,0,3,meddling
271,179,120,kids
45,27,47,speech
21,43,30,jim
3,0,1,snorted
522,340,337,give
2,0,2,undo
60,44,29,credit
8,3,7,pal
4,0,0,gah
741,442,338,actually
14,7,6,disbelief
70,57,88,http
1,0,0,nwhyte
2,1,1,livejournal
91,77,117,com
1,0,0,htmla
82,244,262,collection
5,4,6,analytical
41,117,131,essays
12,6,11,subtitle
53,42,41,puts
7,9,7,worldwide
29,46,36,spread
61,41,42,extreme
1,0,0,shari
132,111,147,law
45,63,66,sent
6,6,12,contributors
14,13,21,shortly
645,862,996,its
33,42,45,eight
152,187,149,chapters
189,145,138,cover
17,2,5,saudi
5,4,10,arabia
8,15,24,iran
6,5,6,pakistan
2,2,20,sudan
1,1,0,nigeria
3,2,0,malaysia
5,4,1,indonesia
10,14,13,afghanistan
8,4,4,vary
66,79,80,quality
1,0,1,nigerian
84,53,36,editor
17,12,18,remarkably
248,121,138,poor
90,109,120,approach
65,52,43,missed
514,360,375,real
6,6,6,synthesis
511,459,405,might
95,69,96,looked
1,0,1,bangladesh
10,29,30,egypt
4,2,4,algeria
228,203,144,etc
5,10,8,comparative
6,21,19,strengths
2020,2402,2045,more
56,23,37,liberal
3,6,4,strands
152,176,209,within
42,71,73,contemporary
7,31,19,islamic
256,172,176,thinking
82,52,25,suppose
678,603,663,such
1863,1692,1740,had
662,423,395,point
208,102,145,cannot
33,13,20,pointed
25,22,33,washington
1,0,0,funders
71,79,89,freedom
198,209,221,house
2052,1807,1886,has
7,5,3,foreword
119,111,125,james
1,0,0,woolsey
282,462,594,war
19,18,27,iraq
373,372,283,probably
1,2,2,exacerbated
34,26,34,threat
19,32,33,radical
1,1,0,islamists
76,48,51,watching
53,63,80,childhood
38,42,38,heroes
37,50,48,grow
522,487,413,feel
4,1,0,ennui
1,0,0,fornicate
115,54,95,die
1436,1394,1196,much
170,263,232,fun
1066,913,919,reading
3,3,1,tintin
663,707,820,new
715,789,1102,world
72,68,79,finding
7,13,4,santa
1608,1334,1010,really
73,51,45,mom
3,5,4,tooth
18,64,22,fairy
79,48,60,pay
389,222,254,self
34,34,26,pulled
33,18,22,teeth
961,1128,1519,life
71,72,60,fair
52,29,58,captain
1,0,0,haddock
1,5,4,snowy
55,51,55,sitting
1,0,0,marlinspike
16,18,13,locked
60,64,66,forever
1900,1769,1861,their
1,0,0,agelessness
785,500,476,want
124,79,89,serious
2,1,0,haute
1592,987,874,then
714,441,407,thing
38,15,59,shall
1,0,0,regress
590,439,435,take
4,0,0,ageless
1,1,1,untroubled
571,491,496,thought
143,133,88,giving
167,333,254,stars
71,85,89,pictures
132,146,191,beautiful
1295,1730,1635,story
196,137,119,problems
41,60,40,rate
295,212,267,high
524,457,305,seems
165,197,132,issues
70,60,84,knowing
1,1,1,fireflies
161,116,131,fantasy
8,8,13,capturing
36,24,44,moon
129,89,64,tries
397,545,602,both
87,57,50,neither
91,38,37,sentences
242,330,373,often
523,452,492,long
118,99,80,huge
10,6,4,wordy
306,236,235,child
444,535,569,part
14,8,3,darling
1,3,1,wrecked
461,373,401,children
437,324,378,need
78,145,134,focus
8,2,7,limiting
283,175,189,word
45,36,50,choices
58,131,131,poetry
9,4,3,granddaughter
574,406,427,again
156,84,84,nor
12,6,9,borrow
143,65,49,sentence
92,44,34,paragraph
22,9,6,remove
1,0,0,prepositional
25,21,23,phrases
56,20,16,lazy
34,68,23,dated
199,318,285,although
392,357,277,almost
146,171,146,certain
22,30,41,communist
16,21,29,humour
509,650,457,lot
11,4,3,funnier
17,47,58,soviet
37,45,51,countries
1581,1159,1201,people
13,19,15,communism
328,456,350,quite
2,0,0,sayle
43,28,41,regardless
68,82,91,politics
2,6,9,indifferent
378,460,486,always
4,0,0,phoned
14,5,3,mock
5,2,1,absurdist
223,183,254,writer
48,39,47,equally
196,160,187,wrote
1685,1110,1178,only
57,40,54,laugh
39,33,32,loud
130,86,135,moment
745,596,567,writing
608,521,412,better
1,0,0,absurdism
113,64,60,message
76,68,67,bought
315,336,315,used
171,161,146,despite
39,12,18,pretend
155,151,129,funny
45,31,43,cost
10,4,4,hmmm
26,17,17,desperately
351,221,183,wanted
33,28,27,drop
622,326,397,ever
329,294,305,second
3,3,0,plodded
654,610,516,end
378,269,193,gets
204,70,58,worse
85,25,30,fat
43,44,16,ugly
9,0,1,git
12,2,11,loosely
2,1,1,affiliated
249,331,413,young
136,149,122,ones
717,699,733,now
167,142,116,wonder
1639,1327,1490,will
99,74,75,watch
423,401,411,last
376,235,264,review
5,8,6,questioned
8,4,2,cleaner
215,238,260,art
133,96,108,type
57,49,44,hurt
80,73,49,tone
96,90,93,answer
367,461,473,different
238,260,263,style
76,42,102,lord
304,177,142,yes
1,0,0,deadsville
137,92,98,complete
14,17,23,visual
20,23,30,shift
1,0,0,amonster
64,58,48,week
349,347,254,less
10,21,23,noir
2,1,1,tagging
7,2,6,downfall
103,87,88,nearly
1323,1308,1053,good
1,10,9,cal
44,13,9,asshole
1382,1330,1116,than
62,59,40,smart
74,26,25,ass
39,8,4,wtf
1,0,1,amystery
942,738,621,characters
29,4,8,cardboard
7,1,0,cutouts
476,770,476,interesting
215,142,158,happened
358,282,338,year
424,576,571,between
29,22,24,criminal
2,0,6,macabre
410,219,223,tell
21,14,23,differently
57,31,17,skip
307,273,312,once
2,1,5,dismayed
168,116,76,lack
143,184,195,understanding
6,7,7,catholicism
381,333,425,yet
254,234,264,takes
137,164,180,upon
95,67,88,speak
85,72,94,faith
490,283,256,let
777,640,646,see
10,10,9,outline
25,27,15,titled
36,20,16,error
155,126,177,truth
84,91,70,lines
91,67,58,references
8,2,1,catechism
35,41,57,foreign
3,3,4,protestants
805,843,725,while
48,24,50,biblical
35,17,34,scripture
4,12,0,mmm
369,294,322,course
13,7,9,catholics
105,61,70,quote
17,2,4,supports
54,34,38,beliefs
32,6,7,conveniently
9,11,15,outlines
40,33,32,per
15,7,10,protestant
9,12,2,owns
1231,1376,1394,very
27,12,10,bias
4,3,2,deceptive
171,129,170,line
258,202,200,show
122,78,90,support
50,43,45,catholic
2,3,1,apologetic
306,250,228,done
194,175,196,clear
14,8,20,winner
204,131,144,knows
18,11,3,referenced
456,342,297,far
4,6,5,continual
30,26,37,sacrifice
800,527,485,say
588,279,491,god
8,12,12,infinite
127,191,236,nature
20,22,39,bound
1,0,0,scarificing
92,38,72,christ
24,13,31,foot
1,0,3,calvary
567,688,717,years
156,179,184,ago
7,4,10,knees
30,16,27,worship
110,84,88,following
18,15,20,instructions
43,57,96,memory
7,16,7,mccarthy
9,2,2,implying
35,32,39,interpretation
242,432,376,short
8,1,2,sighted
47,29,31,discussing
39,36,45,differences
21,5,9,disturbed
17,1,1,blatantly
4,1,0,misrepresented
26,17,21,scared
28,24,37,beloved
137,136,152,church
3,0,0,misrepresentations
92,81,86,choice
36,62,79,greatest
6,6,11,saints
71,121,157,lived
256,270,241,mother
2,11,8,teresa
5,39,16,francis
1,0,0,assisi
58,75,53,elizabeth
2,2,7,hungary
3,2,3,shunned
47,33,43,excited
570,436,478,makes
73,15,21,disappointment
61,26,45,paid
10,6,5,gasp
3,1,1,retail
28,24,21,comedy
373,509,508,best
1,4,4,effortless
176,131,134,clearly
388,273,222,trying
391,314,286,hard
551,558,547,found
5,9,6,verge
14,16,11,laughter
76,87,68,continue
71,71,89,step
160,50,36,sorry
193,218,155,enjoy
23,4,7,hating
9,5,6,skinny
168,145,93,girls
641,623,661,find
42,29,31,size
15,24,21,clothing
23,21,8,afford
24,11,12,label
762,426,408,women
132,79,75,buy
12,3,3,boo
11,2,1,hoo
1,1,0,blouse
35,28,22,minded
460,327,211,least
632,515,531,written
20,55,6,andy
20,24,44,stood
8,11,17,beside
5,0,0,kermit
28,7,9,evan
114,133,151,saw
71,33,61,blue
2,0,4,container
40,17,19,monster
90,97,104,blood
162,211,208,hand
94,100,93,seeing
679,625,605,made
3,0,5,shiver
825,399,210,bad
40,31,68,memories
15,4,10,nightmares
62,37,71,green
2,0,1,gunk
85,92,110,inside
53,36,70,dangerous
76,9,5,ugh
184,67,48,terrible
25,8,5,stine
5,10,7,weakest
10,2,3,goosebumps
3,0,0,subsets
706,639,700,back
240,219,189,getting
165,54,37,shit
32,35,27,beat
3,0,0,exchanging
2,0,2,barbs
94,141,131,close
256,226,278,friends
20,43,52,friendship
805,687,711,things
1,1,2,subset
25,25,48,creates
12,1,7,horrendous
10,5,1,brat
9,13,14,reminiscent
5,2,0,tara
2,2,2,cuckoo
7,12,14,clock
6,7,17,doom
531,454,516,old
44,27,33,obsessed
31,8,9,chemistry
288,223,222,making
3,0,0,potions
40,17,2,jerk
71,50,56,lies
214,187,171,parents
14,6,5,blaming
94,66,69,purpose
17,12,9,tricks
1436,1347,1359,into
42,34,24,drinking
90,24,15,mess
31,10,15,deliberately
2,2,1,messes
12,4,7,homework
60,35,37,asks
294,280,302,help
66,39,38,total
128,87,67,kid
322,269,271,understand
758,935,702,little
4,0,1,brats
5,1,1,snot
5,1,5,smacked
47,54,64,grew
478,417,319,kind
500,363,399,without
339,367,451,place
170,193,216,small
40,33,43,tiny
1,0,0,bulked
12,4,4,bully
10,8,7,deliberate
29,29,25,cruel
13,18,32,delight
175,20,25,fucking
197,241,260,lives
36,22,20,apparent
343,212,214,reason
2,2,0,grownups
36,23,26,centered
25,3,1,idiots
12,10,6,kevin
179,139,126,call
29,39,54,genius
1061,770,675,never
93,42,55,listen
265,206,177,try
43,31,40,adults
44,16,8,unrealistic
30,5,4,stupidity
422,433,252,pretty
80,14,14,dumb
566,789,619,though
410,601,633,history
51,44,43,lose
7,7,8,willingness
7,4,1,bust
22,25,24,rough
280,70,46,boring
20,54,41,mainly
247,179,179,doing
159,78,60,thinks
34,36,25,risk
1,1,1,taker
17,16,14,fights
145,105,99,ends
41,30,57,results
8,6,7,disastrous
373,278,299,use
13,13,10,deserved
35,19,41,revenge
1,1,0,backfires
1,4,1,swallows
140,113,131,starts
62,57,82,growing
2,0,1,exponential
12,7,40,panic
5,2,4,instructed
68,45,61,rule
10,16,18,lol
76,91,111,copy
1,0,1,hitchhiker
54,76,92,guide
16,9,8,galaxy
1,0,2,degenerates
68,112,96,local
68,65,64,playing
19,32,19,baseball
1,0,0,kites
26,22,25,trees
41,17,0,lame
1254,1030,1052,way
177,158,138,ending
259,54,34,stupid
141,73,100,dog
98,103,98,named
1,0,0,dogface
256,174,262,name
29,21,26,scary
78,27,18,badly
165,98,95,telling
533,454,329,enough
44,50,64,showing
51,29,47,passage
61,56,81,miss
1,0,0,eells
32,30,30,anthony
16,10,22,emerson
246,247,288,came
299,383,236,felt
